FORMULA,PROPERTY: YS (MPa)
Cr23Ni17Mo10,1.0
Co3.5Ni74.5P22,0.0
Fe70Si17.5B12.5,1.0
Ni81P19,1.0
Zr17.5Cr10Co72.5,1.0
La7Al3,1.0
Fe15P2C3,1.0
Fe71Cu15B14,0.0
La3Al8Ni9,0.0
Ce3Al14Ni3,1.0
Zr7Co91B2,1.0
Gd9Al85Ni6,1.0
Sm10Al89Ni,1.0
Ti3Ni77P20,1.0
Fe76Ni5B19,1.0
Sr6La57Cu37,1.0
Zr4Ti11Si35,1.0
Zr16TiSi3,1.0
Fe79B16P5,1.0
Zr15AlNi4,1.0
Ce2(Al5Fe)3,0.0
NdNi,0.0
Cr8Co12C5,1.0
Al3VGe,0.0
Al21(CoNi)2,0.0
Mn7Si20Pd73,1.0
Si16(Pd25Au3)3,1.0
Si2.5Ni75.5B22,0.0
Mn3Al9Si8,0.0
Fe19B5P,1.0
Zr7Al2Ni11,1.0
Zr10V0.018Fe89.982,1.0
Zr8AlNi11,1.0
Cr5(Ni4P)19,1.0
Al87.5Fe0.5Ni12,1.0
Mg23Ti20Al7,0.0
Zr13Al3Cu4,1.0
Fe40B3P7,1.0
Al43Fe2Co5,0.0
Ga10Fe73B17,1.0
CrSi5Pd19,1.0
Zr8FeCu11,1.0
Hf5Zr52Be43,1.0
Zr42.6Nb1Cu56.4,1.0
Nd3Mg11Ni6,1.0
Zr6CuNi3,1.0
Nd6Fe41B3,1.0
Zr5Ti4Cu11,1.0
La9AlNi15,1.0
Fe19WC5,0.0
Ce5(Mg4Ni)9,1.0
Zr11.4Cr11.6Co77,1.0
Ni42.5P15Pd42.5,1.0
Y2(Al5Ni)3,1.0
Mn30.4Co45.6B24,1.0
Al48CoNi,0.0
Ti7VSi2,1.0
Zr14Ni7B4,1.0
Nd3Al46Ni,0.0
Al16V3Cu,0.0
Al86Fe5Ni9,0.0
Ca7Al3,1.0
Al77V3Cu20,0.0
Cr20Fe23C7,0.0
Ni41B9,1.0
Fe63Cu20Ag17,0.0
Zr8(TiSi3)3,1.0
Si(Ni3B)6,1.0
Zr2Ni3,1.0
Ti12FeCu7,1.0
Ta4Ti13Si3,1.0
Fe78Si7.5B14.5,1.0
Hf43(Nb14Si5)3,1.0
Ti6Al9Ni5,1.0
Cr15Co26C9,1.0
Al6VGe3,1.0
Fe59Mo17C24,1.0
Nd3AlCu46,0.0
Ti16SiNi8,1.0
Ti2Cu5Ni3,0.0
TiAl9,0.0
Cr42Ni31Mo27,1.0
Si3Ni40B7,0.0
Al16Ni3Mo,1.0
Fe31W10C9,0.0
Al3Fe80P17,1.0
Fe5Ni11P4,1.0
Cr11Co9C5,1.0
Fe76(P5C3)3,1.0
Mg10Ti53Al37,1.0
Si18Ni69B13,0.0
Ti6Al3Cu,0.0
Si5B11Mo34,1.0
Mn3Fe91B6,0.0
CeMg7Cu2,1.0
LaAlCu8,0.0
Al44FeCo5,0.0
Cr19(Ni5Mo22)3,0.0
Zr3Ti5Cu12,1.0
Al89Fe5Ni6,0.0
La3Al10Ni7,0.0
Zr4Co17B4,1.0
Cr13Fe28C9,1.0
Ce5(Al4Fe)3,0.0
Nb3Fe15B2,1.0
Ti13Be5Si2,0.0
La9Al25Ni16,1.0
NdMg14Cu5,1.0
Nd4Mg11Ni5,1.0
Fe39B5Mo6,1.0
Ce2Al17Fe,1.0
Ti5CuNi4,0.0
Sr5La67.5Cu27.5,1.0
Fe40GeB9,1.0
Ti15CuNi4,1.0
Fe8SiB,1.0
Hf7CuNi2,1.0
Nd4AlCu45,0.0
Al11Cr5Si4,0.0
Ni40B3P7,1.0
Cu81.9Ag10.5P7.6,1.0
Al29Cr10Si11,0.0
Fe72Si13B15,1.0
CeAl18Ni,0.0
Al88(FeNi3)3,1.0
Al69Co6Ge25,1.0
Mn2Al89Ni9,0.0
La5Al87Ni8,1.0
Cu6.1Si15.5Pd78.4,1.0
La7Ni3,1.0
Fe87Cu5B8,0.0
CeAl15Co4,0.0
Zr6.5Cr16Co77.5,1.0
Co2(Ni11P3)7,1.0
Cu11Si19.5Pd69.5,1.0
Nd2Mg11Cu7,1.0
Fe77.5Si10B12.5,1.0
LaAl17Cu2,0.0
Si4Ni17B4,0.0
Fe15Si2B3,1.0
CaMg9,0.0
Mn7Co61B32,1.0
La3Al5Ni2,1.0
Al8(Co11B3)3,1.0
Cr11Fe29C10,0.0
ZrAl14Ni5,0.0
La13(Al27Ni2)3,1.0
Al14VCu5,0.0
HfTa4Fe5,1.0
Al34Cr5Si11,1.0
Ca7Mg3,1.0
Ni6P5Pt9,1.0
Cr11(Fe12B)3,0.0
La5Al14Ni,0.0
Ca8La59.5Cu32.5,1.0
Zr14Al5Ni,1.0
Y3Mg5Ag2,1.0
Mn19Co65B16,1.0
Nb15Fe12Co73,1.0
Ti7Ni18,0.0
Zr8(CrNi3)3,1.0
Si3Ni15B7,0.0
Cr15Fe81B4,0.0
Zr9V8Si3,1.0
Ni16BP3,1.0
Mn7.2Co64.8B28,1.0
YMg18Ag,0.0
MnAl44Co5,0.0
Fe33Mo8C9,1.0
Mn74(SiP)13,1.0
Al8Co37B5,0.0
Mg19Zn,0.0
FeAg,0.0
Fe79(SiB2)7,1.0
Ti3SiNi,0.0
Al10Cr3Si7,1.0
Zr77.5Cu15B7.5,0.0
Cu5.7Si20.5Pd73.8,1.0
Ti2(Nb5Si)3,1.0
Co17(WC)4,0.0
La(Al2Ni)3,0.0
Ti10Al9Cu,0.0
Si8Ni75B17,1.0
Ce3Al15Cu2,0.0
TiNb2Si,0.0
Fe33W8C9,0.0
Zr12Ti3Si5,1.0
Hf2Cu5Ni3,1.0
Ga4Fe79B17,1.0
Zr5Co79Mo16,1.0
Mn43Co37B20,1.0
Ca3Al2,1.0
Co82.5W7.5C10,0.0
Al12Ni25B13,1.0
Hf54V31Si15,1.0
Ti3CuNi6,0.0
Cr5Fe91B4,0.0
Fe91(CuB2)3,0.0
Co65W17.5C17.5,0.0
Mn6Al69Ge25,1.0
Fe83B2Mo15,0.0
Al10Ni29B11,1.0
Mn85(Fe2B3)3,1.0
Ti2P19Pd79,1.0
Ce6Cu69Ag25,1.0
Fe78B17C5,1.0
Ni36B13C,0.0
Co15B7C3,1.0
Fe20.5Ni60.5B19,1.0
Ni31B19,1.0
Zr13Be5Nb2,0.0
Zr5Fe44B,1.0
Hf7(Fe29B2)3,1.0
Ni30B13C7,1.0
La13(Al25Ni4)3,1.0
Al70Si17Ni13,1.0
Cr13Co28C9,1.0
Al89Co2Ni9,0.0
La10Al14Ni,1.0
La2Al5Ni3,1.0
Ce4Mg11Cu5,0.0
Hf14(NbSi)3,1.0
Zr35(SiNi4)3,1.0
Co20B4C,1.0
Zr2CuNi2,1.0
Zr66.9Co33Ni0.1,1.0
Zr7(Fe29B2)3,1.0
La3AlNi,1.0
Fe93CuB6,0.0
Zr3Ti22Si75,1.0
Al89Fe3Ni8,0.0
Y2Mg7Ni,0.0
YMg7Cu2,1.0
Al34V5Ge11,1.0
Ni41(B2C)3,0.0
Fe7SiB2,1.0
Zr7Fe93,0.0
Ti5Al3Cu2,0.0
Ti61Cu16Ni23,1.0
Hf2CuNi,1.0
Al6Fe39B5,0.0
Co33B17,1.0
Fe21Ni62B17,1.0
CeAl8Cu,1.0
Cu3Ni37P10,1.0
La4(AlNi)3,1.0
Ni38B11C,0.0
Ti3Co17B5,1.0
Zr6Cu3B,1.0
Ti4Al10Ni11,1.0
Cr14FeB5,1.0
LaMg8Cu,0.0
Fe67.5Si17.5B15,1.0
Nd4MgNi5,1.0
Ni33B9C8,1.0
Mn17.8Co71.2B11,1.0
Zr46.9Mn30Ni23.1,1.0
ZrFe17B2,1.0
Zr27.5Cu70B2.5,1.0
Nb6.9Fe80B13.1,1.0
Ti4CuNi5,0.0
Co85W7.5C7.5,0.0
Cr7Fe9B4,1.0
Ti11(V2Si)3,1.0
Fe4B,1.0
Cu3Ni81P16,0.0
La11Al8Ni,1.0
Cu3Si17Pd80,1.0
Ce2Al47Fe,0.0
Zr13Si3Mo4,1.0
Ti5Si2Ni3,1.0
Y2Mg7Ag,1.0
Si10B17Mo73,1.0
Zr5(Fe4Ni)9,1.0
Mn3Fe37B10,1.0
Fe30B19F,1.0
Mg4Al5Zn,0.0
Nd7Al85Ni8,1.0
Al17Cr2Si,0.0
Cr5Fe44B,1.0
Co80B7P13,1.0
Cu85.2Ag7.1P7.7,1.0
Mn2Co17B6,1.0
NdAl15Ni4,0.0
Cr3Fe21B,0.0
Al6Ni31B13,1.0
Zr5Al29Ni16,1.0
Fe69B16Mo15,1.0
Y2Mg13Ag5,1.0
Nd11Fe89,1.0
Fe4Cu15Ag31,0.0
Zr7CuNi2,1.0
Zr17Ti8Cu75,0.0
La7Al91Ni2,1.0
Hf2CuNi7,1.0
Co18B5C2,1.0
Zr11Ti5Si4,1.0
Ti7Al11Cu2,0.0
Zr7(Cr6Co25)3,1.0
Co11Mo9C5,1.0
Fe73(SiB8)3,0.0
Zr15Cr2Si3,1.0
Co9Si,0.0
Ce5Al7Cu38,0.0
La5Al2Ni13,0.0
Al87Fe2Co11,1.0
Y3Al14Ni3,1.0
Ni38(B3C)3,0.0
Fe89B6F5,0.0
Ti3Cu2,1.0
Mn15Co61B24,1.0
Nd2(Al15Ni)3,1.0
Y2.5Mg87.5Mn10,0.0
Nb6.8Fe76B17.2,1.0
Ti3Ni7,0.0
ZrFe18B,0.0
Zr63.65Fe5Ni31.35,1.0
Fe28B9F13,0.0
Fe75Si12B13,1.0
Al65Si17.5Ni17.5,1.0
Ti12Al5Ni8,1.0
Al68Cr15Si17,0.0
Fe21SiB3,1.0
Zr2Al17Ni6,1.0
Zr3Ni2,1.0
NdCu4,0.0
Zr11Ti22Cu17,0.0
Fe37Cu5B8,0.0
Ni19(B2C)2,1.0
Ti17Ni3,0.0
Zr9Ti3Si8,1.0
Fe77B17P6,1.0
Y6Mg15Cu4,1.0
La(Mg2Ni)3,1.0
Ti9Al,0.0
Fe78.5B20F1.5,1.0
Zr66.95V0.05Ni33,1.0
Mn12Co7B6,1.0
La3Ni2,1.0
Zr11Al57Ni32,1.0
Fe34W5C11,1.0
V5(Fe14B)3,0.0
Fe12B7F,1.0
Nd(Al8Ni)11,1.0
Zr17(Al6Ni5)3,1.0
Ti8(SiNi3)3,1.0
Fe43B3Mo4,0.0
Cr32Ni43Mo25,1.0
Al8Ni31B11,1.0
Si(Ni5B)4,0.0
La4Mg9Ni7,1.0
Nb13Co77B10,1.0
Zr15Si3Mo2,1.0
Fe79W16C5,0.0
Zr5Al4Ni,0.0
Ti(CuNi)2,0.0
Hf7Fe91B2,1.0
La3Al4Ni3,1.0
Si12.5Ni75B12.5,1.0
La14Al5Ni,1.0
Fe18W2C5,0.0
Si16.5Pd76.5Au7,1.0
Al61Cr10Ge29,1.0
Al2Co37B11,1.0
CaAl8Ni,0.0
Mg13Ti12,0.0
Hf3Cu5Ni2,1.0
Cr3NiP,1.0
Cr15Fe77B8,0.0
Al8(Ni11B3)3,1.0
La3AlCu6,0.0
Y6Mg13Cu,0.0
BMo8P,1.0
Fe41B4P5,1.0
Cr9Ni31P10,1.0
Nd4(MgNi)3,1.0
La5(Al3Ni2)3,1.0
La2AlNi7,0.0
Zr5Al86Ni9,1.0
Ti3AlCu6,1.0
Si5(Ni13B2)3,1.0
Fe12B5F3,1.0
Ga2Fe81B17,1.0
Nd(Al6Ni)7,1.0
Sm4Al21,1.0
Fe41Cu30Ag29,1.0
CeMn2Al47,0.0
Co85W2.5C12.5,0.0
Ti8AlCu11,1.0
CeCu13Ag6,0.0
Ce3Al16Co,0.0
Nd(MgCu2)3,0.0
La8Al5Cu7,1.0
Fe83B7P10,1.0
La4Mg11Ni5,1.0
Al23Fe2,0.0
Zr63.65Co5Ni31.35,1.0
Hf13Al2Cu5,1.0
Mn26.5Co45.5B28,1.0
Ni3B5C2,1.0
Zr4(AlNi)3,1.0
Zr14(MnAl)3,1.0
Hf9Cu7Ni4,1.0
Ce2(Al5Cu)3,1.0
Zr66.95Fe33Ni0.05,1.0
Cr55.93Ni28.93P15.14,1.0
Fe56Ni19B25,1.0
Ti7V2Si,0.0
Al9Cr4Si7,0.0
Ba4.5La68Cu27.5,1.0
La11Al7Ni2,1.0
Ti4Ni,0.0
Ni21B25C4,0.0
Mn3Al43Co4,0.0
La28Al55Ni17,1.0
Gd7.3Al85.4Fe7.3,1.0
Zr75Ni24P,1.0
La3Mg11Ni6,1.0
Fe7Ni76B17,1.0
CeMg17Cu2,1.0
Fe83B9Mo8,0.0
Y3Al88Ni9,1.0
Nb7Fe77B16,1.0
Y3Mg3Ni4,1.0
Fe41B9,1.0
Hf67(V6Si5)3,1.0
Zr5.2Co86.8W8,1.0
Hf61(Nb8Si5)3,1.0
Zr13Co5Pd2,1.0
La9Al16Ni25,1.0
Ni6P5Pd14,1.0
Al89FeNi10,0.0
Al4Co35B11,1.0
Ce2Al5Cu43,0.0
Si5B2Mo13,0.0
CeAl5Cu44,0.0
La11(Al2Cu)3,1.0
Ta6Ni13P,1.0
La9Al18Ni23,1.0
LaAl44Ni5,1.0
Zr9AlNi10,1.0
Mn(Al2Si)3,1.0
Fe15P3C2,1.0
Cr4Fe41B5,0.0
Fe81B12C7,1.0
Zr7Ti3Si10,1.0
Fe81B14Mo5,1.0
Si5BMo14,0.0
Zr13Al2Ni5,1.0
Zr3Ti2Si5,1.0
Ti57.5Nb25Si17.5,1.0
Zr48Al25Ni27,1.0
SiNiPd3,1.0
Tb28.3Al15Fe56.7,0.0
Gd33.3Al33.4Fe33.3,1.0
LaMg4Cu5,1.0
Ti3Si17,1.0
Zr40Al9Ni,1.0
Fe21Ni21B8,1.0
Al45Fe3Ni2,0.0
Zr3VNi6,1.0
Mn3Fe81B16,1.0
Al8Ni29B13,1.0
Co37W7C6,0.0
Cr13(Ni3Mo)3,1.0
Al4Fe39B7,1.0
Y3Mg4Ag3,1.0
Nb7.3Fe77.5B15.2,1.0
Ti2.1Ni78.8B19.1,1.0
Nd5Mg13Ni2,1.0
Nd8(Fe13B)3,0.0
Fe83Si2B15,1.0
CeCu12Ag7,1.0
Zr2.5Nb8.5Co89,1.0
Ni13(B5C)2,1.0
Zr14Al11Ni25,1.0
Zr11Cu7B2,1.0
Nd10Al79Ni11,1.0
La2Al17Cu,1.0
Zr6Ti5Si9,1.0
Fe77.5P15C7.5,1.0
Si9Ni36B5,0.0
Zr7Al6Ni7,1.0
Zr11(AlNi2)3,1.0
Al21(FeNi)2,1.0
Nd3(Al10Ni)2,1.0
Fe85B8C7,1.0
Nd4.125Fe78.375B17.5,1.0
Ti5Al2Cu3,1.0
Zr67Cu33,1.0
SiNi15B4,1.0
Sr16La47Cu37,1.0
B3Mo17,0.0
Cu2Ag2Ge,1.0
Fe77Ni5B18,1.0
Fe13Si5C2,1.0
Cr69.6Ni16.2P14.2,0.0
Si4Pd21,1.0
Al8Fe37B5,0.0
La26Al15Ni59,1.0
Al21FeNi3,0.0
Hf67(Co10P)3,1.0
Cr23Co20C7,0.0
Al12Co27B11,0.0
Zr9Al4Ni7,1.0
CeAl7Ni2,1.0
Co7Si3,0.0
Cr6Fe41B3,0.0
Nb10Ni73B17,1.0
Al4Co33B13,1.0
Zr5AlCo44,1.0
Nb76.5Si8.5Ge15,1.0
La9Al5Ni6,1.0
Nb8.9Fe79.6B11.5,1.0
Nd5Mg7Ni8,1.0
Y3Al13Ni4,1.0
Ti57Be43,0.0
Nd4Al7Cu39,0.0
Mn27Co61B12,1.0
NdMg19,0.0
Zr2Cr5Fe13,1.0
Zr16.3Co79.7Mo4,1.0
MnAl23Co,0.0
Mg6(CuAg)7,1.0
Fe41(B2P)3,1.0
Cu2Ni37P11,1.0
Fe39B2Mo9,0.0
Al18CoNi,0.0
Zr19Ti11Si70,1.0
Cu20.9Si16.5Pd62.6,1.0
Zr2(Fe5B)3,1.0
Zr47Ti8Si45,1.0
Al15Cr3Si2,0.0
Nd5Mg3Ni2,1.0
Zr60.3V10Ni29.7,1.0
Cr7Fe37B6,1.0
Zr5MnFe44,1.0
Al67(Fe7Ni4)3,0.0
Zr53.6Mn20Ni26.4,1.0
Si16.5Ni29.2Pd54.3,1.0
Ba5La53Cu42,1.0
V5Fe83B12,1.0
Nb7.8Fe78.4B13.8,1.0
V4(Fe25B7)3,1.0
Al4Cu,0.0
Fe84B5P11,0.0
Al86Co3Ni11,0.0
NbNi,1.0
Mn5Fe83B12,0.0
CeAl47V2,0.0
Cr4Fe45B,1.0
NdMg2Cu,1.0
YAl8Ni,1.0
YMg7Ni2,1.0
ZrNb79Si20,1.0
La9Al22Ni19,1.0
Ce(Al6Fe)7,0.0
Sc3Fe,1.0
Fe20Si2B3,1.0
Hf51V34Si15,1.0
CeMg14Cu5,1.0
ZrTi2Si7,1.0
Ti36.6Nb15Cu48.4,1.0
Zr17Cr2Co81,1.0
Cr13Fe32B5,1.0
Y10(Al29Ni)3,1.0
Al30Cr9Si11,0.0
NdFe9,1.0
Mg35(Zn4In)3,1.0
Ni18BC,0.0
Zr3Ni7,1.0
Mg10AlZn9,1.0
Nd15Fe82B3,1.0
Zr72.5Cu25B2.5,1.0
Zr10Cr3Ni7,1.0
Co77.5W10C12.5,0.0
GdAl7Ni2,1.0
Ce25.5Al62.5Fe12,0.0
Zr9Al9Ni2,1.0
Ce2Mg17Ni,1.0
Fe58.5Ni20B21.5,1.0
Sr14.5La53.5Cu32,1.0
Ca2.5Al92.5Fe5,0.0
Mn57Co27B16,1.0
Ba7La51.5Cu41.5,1.0
ZrCu4,0.0
Nb7Si2Mo,1.0
Si14Ni69B17,1.0
CeNbAl8,1.0
Al4Ni25B21,1.0
Sm5Al87Ni8,1.0
Hf7Fe85B8,1.0
Nd3Al41Ni6,1.0
Fe79(B6P)3,0.0
Al47FeCo2,0.0
Nd5Mg88Ni7,1.0
Ni28B19C3,1.0
Fe63B37,1.0
Ce3Mg13Cu4,1.0
LaMg7Ni2,1.0
Co67.5Si7.5B25,1.0
Hf73(Nb4Si5)3,1.0
Zr3Co44Mo3,1.0
FeB5W14,1.0
Ti42.6Nb1Cu56.4,1.0
Si11Pd39,1.0
Ni53.5B44C2.5,0.0
Al66.5Si18.5Ni15,1.0
Fe8BP,1.0
CaMg18Cu,0.0
Si9Pd37Au4,1.0
Co19(BC)3,1.0
Zr5(Fe13B2)3,1.0
LaMg15Zn4,1.0
Mn2(NbCo5)3,1.0
Zr6.5Fe92B1.5,1.0
Cu6(SiPd3)11,1.0
Ni29(B5C2)3,1.0
Hf5Cu2Ni3,1.0
Nd2Mg5Cu3,1.0
Fe71Ni25B4,0.0
Zr(CrCo2)3,1.0
CeCu11Ag8,1.0
Si16.5Pd83.5,1.0
Co80.5Si7B12.5,0.0
Co10Si16.5Pd73.5,1.0
Fe80Si3B17,1.0
Ce2Mg7Cu,0.0
Fe57Ni25B18,1.0
Nd2Mg17Cu,1.0
Zr6Cu3Ni,1.0
Fe40SiB9,1.0
Tb15Fe76.5Co8.5,1.0
Ca3Mg2,1.0
La6Al85Ni9,1.0
Zr7Fe85B8,1.0
Fe80B11C9,1.0
Fe69Si7B24,1.0
Ni36.5P27Pd36.5,1.0
Nd4Mg5Ni,0.0
Nb3VSi,1.0
Al21FeCo3,0.0
Zr10Fe89.91Ge0.09,1.0
Ga8Fe75B17,1.0
Zr15Co67Mo18,1.0
Co35(W2C3)3,1.0
NdMg3Ni,1.0
Ce5AlCu44,0.0
Hf16VSi3,1.0
Mn4Al41Ni5,0.0
Co16B7C2,1.0
Y2MgNi2,1.0
La2Mg18Zn5,1.0
Nd9Al83Ni8,1.0
Fe15B4Mo,1.0
Ce7Nb10Al83,1.0
Al8Co29B13,1.0
Cr14Fe29C7,0.0
Nd5Al41Ni4,1.0
Ce10Al83Cr7,0.0
Ca(La5Cu2)7,1.0
La5Mg11Cu4,0.0
Al43Fe3Co4,0.0
Cu5.8Si19.5Pd74.7,1.0
Al2Fe41B7,1.0
Nd2Mg7Ni,1.0
ZrTi4Si15,1.0
Co41B9,1.0
Nb80Si19Ge,1.0
Ti7Ni3,1.0
Ce2AlCu22,0.0
Zr12.2V12Co75.8,1.0
Fe39B6Mo5,1.0
Co29(Mo4C3)3,1.0
Nd3Mg2Cu5,1.0
Ca2Al17Zn,1.0
Zr13Ti4Ge3,1.0
Fe75B11P14,0.0
Zr2Co17B,1.0
Co17W5C3,0.0
Ni37B10C3,0.0
La11Al5Zn4,1.0
Ba7La65Cu28,1.0
La11Al5Fe4,1.0
Nd2Al43Ni5,1.0
Sm6Al39Ni5,1.0
Al22CoNi2,1.0
Ba9(La4Cu3)13,1.0
Mg33Ti14Al3,0.0
Co40Si3B7,1.0
La20AlNi29,1.0
Fe63Ni20B17,1.0
Sm4Al13Ni3,1.0
Y(MgCu)2,1.0
NdMg11Cu8,1.0
Al5V2Ge3,0.0
Mn18Fe5B2,0.0
Al79Si11Ni10,1.0
Fe35(Si3B2)3,1.0
La3Al44Ni3,1.0
Ce3Al15Fe2,0.0
Nd2(Al5Ni)3,1.0
Cr39Ni28Mo33,1.0
Hf64(V7Si5)3,1.0
Ni6P5Pt14,1.0
V5Fe89B6,0.0
ZrCo8Mo,1.0
Ca14(MgAl)3,1.0
Zr83Si17,1.0
Al63Fe12Si25,1.0
Y4Mg21,1.0
Zr8Al5Ni7,1.0
Si17Pd71Au12,1.0
Fe82Sn1.5B16.5,1.0
Al4Ni31B15,1.0
Fe77B19P4,0.0
Mg6Ti61Al33,1.0
Zr7Cu13,1.0
Zr3CuNi,1.0
Si16.5Pd76.8Au6.7,1.0
Zr50.25Ti25Ni24.75,1.0
Cu12Ni67P21,0.0
LaAl7Cu2,0.0
Zr11AlNi8,1.0
Mn(Al6Co)7,0.0
Zr31(Ti3Si20)3,1.0
Zr2Cu2Ni,1.0
Ce7Al93,1.0
Zr51.2Al20Ni28.8,1.0
Fe79(B3P4)3,1.0
Zr3Al13Ni4,1.0
Nb20Si4Ge,1.0
Nd7Ni3,1.0
La9Ni,0.0
Zr67Fe23.1Ni9.9,1.0
Fe79(B2Mo5)3,0.0
Co17(MoC)4,1.0
Ni2PPd2,1.0
La2Mg2Ni,0.0
Zr53.2Fe16.8B30,1.0
Zr6.5Cr8Co85.5,1.0
Ti28Nb47Si25,0.0
Co21Mo20C9,0.0
Si16.5Ag1.7Pd81.8,1.0
SmAl18Ni,1.0
Al15CrSi4,0.0
ZrFe5Co4,1.0
Fe70Si7.5B22.5,1.0
Fe44BMo5,0.0
Cu(Ni5P)4,0.0
Ti7Be3,0.0
Hf2Cu7Ni,0.0
Zr10Al0.018Fe89.982,1.0
Zr51Nb40Si9,1.0
Al47FeNi2,0.0
Fe39BMo10,0.0
Zr22Ti13Si15,1.0
Si16.5Ni20.9Pd62.6,1.0
Fe80B13P7,1.0
ZrCrFe8,1.0
NdMg7Ni2,1.0
Al10Ni33B7,0.0
Mn17Co25B8,1.0
Zr15Fe72B13,1.0
Zr15Al57Ni28,1.0
Fe71Ni15B14,1.0
AlCu,0.0
Si22.5Ni67.5C10,0.0
Al12V3Cu5,0.0
Mn4Al9Si7,1.0
Mn2Al47Co,0.0
Hf34.4Nb20Cu45.6,1.0
Y2.5Mg91.5Mn6,1.0
Fe2Ni2B,1.0
CeAl17Co2,1.0
Mg30Ti43Al27,0.0
Zr12Al5Ni3,1.0
NdFe3,1.0
Fe84SiB15,1.0
Mg70Cu29Au,1.0
Fe37SiB12,0.0
Y57Al5Cu38,1.0
Zr87Si13,1.0
La6Al3Cu,1.0
La36Al53Ni11,1.0
Hf58(V9Si5)3,1.0
Zr4AlNi5,1.0
Zr21Cu28P,1.0
Co9Ni72P19,1.0
Al17Ni2Mo,1.0
Nd(AlCu11)2,0.0
CeCu5Ag4,1.0
Zr62.5Be35Nb2.5,1.0
Cr4Fe13B3,1.0
Cr27Ni15Mo8,1.0
Ni37B6P7,1.0
Nb5.5Fe81.5B13,0.0
Ni19B29C2,0.0
CeAl18Co,1.0
Fe81.5Si12.5B6,0.0
La8Al5Ni7,1.0
Al2Fe5B3,1.0
Co3B,1.0
Ti21Al15Ni14,1.0
Fe39Si2B9,1.0
Al81Cr19,0.0
Nd3Mg16Cu,0.0
La7AlNi2,1.0
Ta8(Ti3Si)3,1.0
Zr7Al5Ni8,1.0
Ca12Mg7Ga,1.0
Zr57Ti8Si35,1.0
Fe81B16C3,1.0
Ni17Mo5C3,1.0
Fe35(B2Mo3)3,1.0
Fe81B10C9,1.0
Ti42(AlNi)29,1.0
Mn3Al45Co2,0.0
Al12Cr3Si5,1.0
SiNi9,0.0
Fe77Cu15B8,0.0
Si16.5Ni12.5Pd71,1.0
Ti4Be,0.0
Fe21BP3,0.0
Ti9Al4Cu7,1.0
La16Al67Ni17,1.0
V5Co17B3,1.0
Hf3Ta2Fe5,1.0
GdAl9,1.0
Nd5Al43Ni2,1.0
Al2(Ni9B7)3,1.0
Ti4Cu,0.0
Co27Mo14C9,1.0
Si2Ni7C,0.0
Zr2Co17Mo,1.0
Nd3Mg15Ni2,1.0
NdAl9,1.0
Fe13B4F3,1.0
Hf67(Co8Si3)3,1.0
