Alloy code, C, Si, Mn, P, S, Ni, Cr, Mo, Cu,V, Al, N,Ceq,Nb + Ta, Temperature (Â°C), 0.2% Proof Stress (MPa), Tensile Strength (MPa)
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,0,0,27,342,490
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,0,0,100,338,454
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,0,0,200,337,465
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,0,0,300,346,495
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,0,0,400,316,489
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,0,0,450,287,461
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,0,0,500,274,431
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,0,0,550,262,387
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,0,0,600,220,314
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0,0.003,0.0066,0,0,650,152,226
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,0,0,27,310,463
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,0,0,100,285,427
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,0,0,200,296,439
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,0,0,300,265,471
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,0,0,400,257,472
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,0,0,450,240,451
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,0,0,500,232,423
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,0,0,550,207,367
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,0,0,600,176,297
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0,0.005,0.008,0,0,650,132,205
MBD,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,0,0,27,306,463
MBD,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,0,0,100,258,432
MBD,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,0,0,200,303,459
MBD,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,0,0,300,275,473
MBD,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,0,0,400,264,464
MBD,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,0,0,450,252,451
MBD,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,0,0,500,237,424
MBD,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,0,0,550,228,378
MBD,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,0,0,600,212,297
MBD,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0,0.006,0.009,0,0,650,143,221
MBE,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0,0.006,0.008,0,0,27,343,502
MBE,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0,0.006,0.008,0,0,100,326,467
MBE,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0,0.006,0.008,0,0,200,329,482
MBE,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0,0.006,0.008,0,0,300,277,505
MBE,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0,0.006,0.008,0,0,400,249,493
MBE,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0,0.006,0.008,0,0,450,253,475
MBE,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0,0.006,0.008,0,0,500,255,434
MBE,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0,0.006,0.008,0,0,550,229,383
MBE,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0,0.006,0.008,0,0,600,202,301
MBE,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0,0.006,0.008,0,0,650,143,221
MBF,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,0,0,27,339,493
MBF,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,0,0,100,329,464
MBF,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,0,0,200,315,475
MBF,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,0,0,300,270,497
MBF,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,0,0,400,257,482
MBF,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,0,0,450,256,465
MBF,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,0,0,500,256,442
MBF,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,0,0,550,238,389
MBF,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,0,0,600,213,308
MBF,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0,0.007,0.01,0,0,650,146,226
MBG,0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,0,0,27,251,456
MBG,0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,0,0,100,240,420
MBG,0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,0,0,200,261,449
MBG,0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,0,0,300,203,479
MBG,0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,0,0,400,192,482
MBG,0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,0,0,450,186,471
MBG,0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,0,0,500,192,435
MBG,0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,0,0,550,177,375
MBG,0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,0,0,600,170,304
MBG,0.12,0.37,0.45,0.018,0.008,0.035,1,0.5,0.06,0,0.009,0.0088,0,0,650,122,211
MBH,0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,0,0,27,239,453
MBH,0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,0,0,100,229,419
MBH,0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,0,0,200,244,449
MBH,0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,0,0,300,210,485
MBH,0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,0,0,400,174,474
MBH,0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,0,0,450,194,468
MBH,0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,0,0,500,181,434
MBH,0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,0,0,550,175,380
MBH,0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,0,0,600,170,296
MBH,0.12,0.36,0.45,0.018,0.007,0.028,1,0.53,0.05,0,0.007,0.008,0,0,650,124,214
MBJ,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,0,0,27,241,431
MBJ,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,0,0,100,237,406
MBJ,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,0,0,200,243,431
MBJ,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,0,0,300,188,459
MBJ,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,0,0,400,168,454
MBJ,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,0,0,450,176,444
MBJ,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,0,0,500,160,417
MBJ,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,0,0,550,172,376
MBJ,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,0,0,600,161,293
MBJ,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,0,0,650,114,199
MBL,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,0,0,27,313,464
MBL,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,0,0,100,301,421
MBL,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,0,0,200,324,459
MBL,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,0,0,300,303,479
MBL,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,0,0,400,279,482
MBL,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,0,0,450,277,473
MBL,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,0,0,500,262,449
MBL,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,0,0,550,251,395
MBL,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,0,0,600,220,317
MBL,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,0,0,650,137,213
MBM,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,0,0,27,291,462
MBM,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,0,0,100,315,418
MBM,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,0,0,200,316,457
MBM,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,0,0,300,288,479
MBM,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,0,0,400,270,482
MBM,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,0,0,450,272,479
MBM,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,0,0,500,256,441
MBM,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,0,0,550,240,393
MBM,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,0,0,600,218,299
MBM,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,0,0,650,136,217
MBN,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,0,0,27,312,452
MBN,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,0,0,100,304,420
MBN,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,0,0,200,311,454
MBN,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,0,0,300,242,529
MBN,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,0,0,400,291,483
MBN,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,0,0,450,280,479
MBN,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,0,0,500,260,448
MBN,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,0,0,550,240,383
MBN,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,0,0,600,215,304
MBN,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,0,0,650,150,220
CAA,0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,0,0,27,280,480
CAA,0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,0,0,100,270,471
CAA,0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,0,0,200,272,591
CAA,0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,0,0,300,197,553
CAA,0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,0,0,350,185,509
CAA,0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,0,0,400,177,444
CAA,0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,0,0,450,176,373
CAA,0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,0,0,500,156,306
CAA,0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,0,0,550,131,234
CAB,0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,0,0,27,290,470
CAB,0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,0,0,100,278,456
CAB,0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,0,0,200,277,572
CAB,0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,0,0,300,187,540
CAB,0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,0,0,350,188,500
CAB,0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,0,0,400,166,431
CAB,0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,0,0,450,171,371
CAB,0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,0,0,500,152,302
CAB,0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,0,0,550,127,229
CAC,0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,0,0,27,285,470
CAC,0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,0,0,100,271,453
CAC,0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,0,0,200,267,564
CAC,0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,0,0,300,187,546
CAC,0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,0,0,350,184,485
CAC,0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,0,0,400,172,427
CAC,0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,0,0,450,179,372
CAC,0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,0,0,500,165,309
CAC,0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,0,0,550,135,237
CAG,0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,0,0,27,315,500
CAG,0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,0,0,100,276,456
CAG,0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,0,0,200,280,540
CAG,0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,0,0,300,202,534
CAG,0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,0,0,350,197,495
CAG,0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,0,0,400,198,443
CAG,0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,0,0,450,172,379
CAG,0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,0,0,500,173,319
CAG,0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,0,0,550,139,254
CAH,0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,0,0,27,300,480
CAH,0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,0,0,100,291,471
CAH,0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,0,0,200,293,534
CAH,0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,0,0,300,231,552
CAH,0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,0,0,350,231,506
CAH,0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,0,0,400,230,467
CAH,0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,0,0,450,206,386
CAH,0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,0,0,500,199,335
CAH,0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,0,0,550,149,258
CAJ,0.2,0.2,0.47,0.007,0.009,0,0.056,0.01,0.07,0,0.005,0.011,0,0,27,290,480
CAJ,0.2,0.2,0.47,0.007,0.009,0,0.056,0.01,0.07,0,0.005,0.011,0,0,100,297,510
CAJ,0.2,0.2,0.47,0.007,0.009,0,0.056,0.01,0.07,0,0.005,0.011,0,0,200,291,650
CAJ,0.2,0.2,0.47,0.007,0.009,0,0.056,0.01,0.07,0,0.005,0.011,0,0,300,189,572
CAJ,0.2,0.2,0.47,0.007,0.009,0,0.056,0.01,0.07,0,0.005,0.011,0,0,350,187,497
CAJ,0.2,0.2,0.47,0.007,0.009,0,0.056,0.01,0.07,0,0.005,0.011,0,0,400,193,426
CAJ,0.2,0.2,0.47,0.007,0.009,0,0.056,0.01,0.07,0,0.005,0.011,0,0,450,181,368
CAJ,0.2,0.2,0.47,0.007,0.009,0,0.056,0.01,0.07,0,0.005,0.011,0,0,500,164,273
CAJ,0.2,0.2,0.47,0.007,0.009,0,0.056,0.01,0.07,0,0.005,0.011,0,0,550,114,231
CAL,0.21,0.32,0.48,0.02,0.018,0,0.017,0.006,0.08,0,0.004,0.0044,0,0,27,275,460
CAL,0.21,0.32,0.48,0.02,0.018,0,0.017,0.006,0.08,0,0.004,0.0044,0,0,100,260,439
CAL,0.21,0.32,0.48,0.02,0.018,0,0.017,0.006,0.08,0,0.004,0.0044,0,0,200,260,519
CAL,0.21,0.32,0.48,0.02,0.018,0,0.017,0.006,0.08,0,0.004,0.0044,0,0,300,197,512
CAL,0.21,0.32,0.48,0.02,0.018,0,0.017,0.006,0.08,0,0.004,0.0044,0,0,350,188,469
CAL,0.21,0.32,0.48,0.02,0.018,0,0.017,0.006,0.08,0,0.004,0.0044,0,0,400,190,404
CAL,0.21,0.32,0.48,0.02,0.018,0,0.017,0.006,0.08,0,0.004,0.0044,0,0,450,187,356
CAL,0.21,0.32,0.48,0.02,0.018,0,0.017,0.006,0.08,0,0.004,0.0044,0,0,500,154,275
CAL,0.21,0.32,0.48,0.02,0.018,0,0.017,0.006,0.08,0,0.004,0.0044,0,0,550,137,227
CAM,0.2,0.31,0.5,0.022,0.017,0,0.017,0.006,0.09,0,0.004,0.0037,0,0,27,270,460
CAM,0.2,0.31,0.5,0.022,0.017,0,0.017,0.006,0.09,0,0.004,0.0037,0,0,100,244,434
CAM,0.2,0.31,0.5,0.022,0.017,0,0.017,0.006,0.09,0,0.004,0.0037,0,0,200,240,517
CAM,0.2,0.31,0.5,0.022,0.017,0,0.017,0.006,0.09,0,0.004,0.0037,0,0,300,202,509
CAM,0.2,0.31,0.5,0.022,0.017,0,0.017,0.006,0.09,0,0.004,0.0037,0,0,350,195,472
CAM,0.2,0.31,0.5,0.022,0.017,0,0.017,0.006,0.09,0,0.004,0.0037,0,0,400,197,413
CAM,0.2,0.31,0.5,0.022,0.017,0,0.017,0.006,0.09,0,0.004,0.0037,0,0,450,178,349
CAM,0.2,0.31,0.5,0.022,0.017,0,0.017,0.006,0.09,0,0.004,0.0037,0,0,500,160,276
CAM,0.2,0.31,0.5,0.022,0.017,0,0.017,0.006,0.09,0,0.004,0.0037,0,0,550,137,209
CAN,0.23,0.32,0.53,0.023,0.016,0,0.022,0.005,0.07,0,0.005,0.0051,0,0,27,285,470
CAN,0.23,0.32,0.53,0.023,0.016,0,0.022,0.005,0.07,0,0.005,0.0051,0,0,100,267,446
CAN,0.23,0.32,0.53,0.023,0.016,0,0.022,0.005,0.07,0,0.005,0.0051,0,0,200,251,502
CAN,0.23,0.32,0.53,0.023,0.016,0,0.022,0.005,0.07,0,0.005,0.0051,0,0,300,183,561
CAN,0.23,0.32,0.53,0.023,0.016,0,0.022,0.005,0.07,0,0.005,0.0051,0,0,350,190,471
